,customer_id,frequency,monetary,recency
0,00172711b30d52eea8b313a7f2cced02,1,74.5,81
1,004288347e5e88a27ded2bb23747066c,2,317.89,276
2,004b45ec5c64187465168251cd1c9c2f,1,27.0,144
3,0058f300f57d7b93c477a131a59b36c3,1,72.58,209
4,00a39521eb40f7012db50455bf083460,2,81.45,136
5,00cc12a6d8b578b8ebd21ea4e2ae8b27,2,99.80000000000001,575
6,011575986092c30523ecb71ff10cb473,2,182.9,182
7,011b4adcd54683b480c4d841250a987f,2,183.43,244
8,012452d40dafae4df401bced74cdb490,2,427.9,156
9,012a218df8995d3ec3bb221828360c86,2,1429.8000000000002,121
10,013ef03e0f3f408dd9bf555e4edcdc0a,2,226.34,89
11,013f4353d26bb05dc6652f1269458d8d,2,276.9,323
12,015557c9912277312b9073947804a7ba,2,289.9,534
13,0178b244a5c281fb2ade54038dd4b161,2,208.88,81
14,01886ef98f995e4f2dd75a1d04c97397,2,41.260000000000005,222
15,018b5a7502c30eb5f230f1b4eb23a156,1,39.99,423
16,01a22e2079ea71e17313b88e5811e54a,2,142.0,268
17,01c289bb06354cdc7e6549570f20ada4,2,139.98000000000002,295
18,01ea7dfdac01a4e8fbe2902b73510b20,1,44.9,250
19,01f2285f85a1c603eb7ef755ad311769,2,428.0,139
20,02168ea18740a0fdaaa15f11bebba5db,2,199.6,373
21,0241fa2e9adf0576cb0f845377d05c03,2,132.31,85
22,027803eb28cc01fbdf5da72b109fabee,2,64.99,365
23,029b457bd01199c39136f89e0eddcd3a,2,278.0,286
24,02b20b7c813efede140142ac610e36dc,2,172.89,212
25,02e4c56fefa30628768ffe326d332e2f,2,63.980000000000004,279
26,02e9109b7e0a985108b43e573b6afb23,3,532.87,156
27,02e9827c15167f699df7bf90d326ffdb,2,45.98,193
28,02fbe4db886eb98774c8ba300d39fa79,2,162.0,242
29,031e19fc630c4121f1238716f41675c3,2,20.2,105
30,031ea691b99fc101dcad357d1a83573f,2,56.989999999999995,464
31,032b3a42598667caf2e099999b9dc1b9,2,387.7,85
32,0333b2fc6ba7014702e08ef613850270,2,50.699999999999996,345
33,0341bbd5c969923a0f801b9e2d10a7b8,2,1828.44,140
34,035e7cd88b7450fd33efeca817081a53,1,58.19,151
35,0361e980b28826f4d286ac144d9b319a,2,309.0,108
36,038301b43811478e1a8dc0e476eaf52e,2,607.0,188
37,0396c443fdda5498c7e9ed5b34871c5a,2,85.89,530
38,03d4953a455f8489e712ea80699de878,2,54.97,88
39,03dabd77cb0ed7a26fafe19e36b67742,2,48.98,520
40,03ef7f03905227e15c7b6c860554b3cb,2,191.99,91
41,041caba6a63ace5818387698ea85cdb2,3,121.89,146
42,043aee247e71edff7045664609f4d806,2,359.65,457
43,0451ef5a31cea3e14ce02d768d7c9943,2,345.48,486
44,0488328f0b499963e32a37fa42a20ca0,2,348.9,405
45,048dbdf8f9bbd1be87b25868d1408311,2,144.9,345
46,04be500031efe43d2defff8c41810543,2,218.9,258
47,04c55667b44fae5f50ed71d40c633d09,1,22.9,497
48,04d3c2795b83634312bf3f86f41f7901,2,557.99,435
49,04e495a3f45df8b41be2e934bbc16961,2,160.89,267
50,04fc637963fe982dd25ac58e4f4770c1,2,88.95,206
51,050555c26479bbb8ba0740c37e7454d0,2,80.0,193
52,0509ab034845adb0b4c91b6f0e7b7260,2,316.0,166
53,053b7090271ed4dacbfe0afd6382bbab,2,69.86,384
54,053f7850c3ffd9726cff61c7e42af797,2,43.0,475
55,055ec572ac7f3c7bdd04a183830ebe59,1,1999.99,456
56,05669445931c028d97b7c0637b5a2359,2,180.0,375
57,059d1f5650f05d9fed9a6d941593f9b4,2,99.97,213
58,059e7585d8fcd2430a33375bdbcbb990,2,434.69,59
59,05e52c1f96f8b83dd66dcdce679ff58d,2,210.0,450
60,05edb10f73fe7d03959ff26540913b3a,2,200.4,287
61,05ef855308303397f1427f29470bb6ab,2,43.89,212
62,060f9ea0a180843fb91d4923b6d01bea,2,576.8,221
63,0621c2a5979d3e887ae519620cbe2926,2,467.70000000000005,433
64,065938485846aa5adc196cb536de42e0,2,384.9,236
65,065dcef61d5f66b30d2ee51b5343d023,2,164.9,321
66,0697142614905a50813d854fa08b8eaf,2,88.0,86
67,06a52782a04f0086d16b9c22d0e29438,3,105.0,529
68,06d26e5230ac619719997a8cf435a69b,2,51.5,195
69,070acf4df1234a6257809e4e79644481,2,873.99,91
70,0710e0c85fe7cb494d624e0863782e46,2,194.3,210
71,071bb277b0146da77fac31e70657815e,2,99.97999999999999,185
72,071fb07419a29c8ba143831082e0320a,2,449.84999999999997,280
73,073037acc049d2be44730a7e39836046,1,64.98,310
74,07342638d0e0aad32c3cf0efc1a37ba5,2,549.78,385
75,0751ebe1c05ef7a632934adae06c6d4a,2,152.9,451
76,075c38f7a650b0dc822712c7a58e93d4,2,95.8,363
77,076b7055bea51da430d6a6fa054e5075,2,87.9,495
78,078f7e669cebf2fb640d0ad0dabb3068,2,42.9,161
79,07abcea6f64399366559afee336a7fd2,2,169.85000000000002,226
80,07b1b60bca2b6326fa2adb259ea4a55f,3,190.4,161
